1,0,0,0,0,99,-1,0,-3,-3,-3,0,-1,-3,2,1,1,99,99,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,1,2,2,3,3,3,3,3,3,3,3,3,99,99,2,99,2,-1,-1,-1,-1,-2,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,99,99,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,3,6,6,6,6,5,5,5,5,6,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,6,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,99,99,99,99,2,2,2,2,3,3,3,99,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,2,1,1,1,1,1,99,99,99,99,99,0,0,0,0,99,-1,-2,-3,-3,-1,-1,-1,99,99,99,99,99,99,99,99,1,1,1
-1,0,0,0,0,99,99,-1,0,-3,-3,-3,0,-3,-3,1,99,99,99,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,2,1,2,2,3,3,3,3,3,3,3,3,2,99,2,99,2,-1,-1,-1,-1,-1,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,4,99,99,99,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,6,6,6,6,6,5,5,5,5,6,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,6,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,99,99,99,99,2,2,2,3,3,3,99,2,0,0,0,0,99,99,2,2,2,2,2,2,2,2,2,2,2,2,99,1,99,99,99,3,99,1,1,1,1,2,1,1,1,99,99,99,99,99,99,99,0,0,2,-2,-2,-3,-1,-1,-1,99,99,99,99,99,99,99,99,-1,1,-1,-1
1,0,0,0,0,0,99,99,-1,0,-3,-3,-3,-3,-3,1,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,2,1,2,2,3,3,3,3,3,3,2,2,99,2,99,-1,-1,-1,-1,1,0,0,0,0,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,4,99,99,99,99,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,6,6,6,6,6,5,5,5,5,5,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2,2,99,99,99,99,2,3,3,3,99,2,2,2,2,0,0,2,2,99,99,2,2,2,2,2,2,2,2,2,2,99,2,1,1,99,99,99,99,1,1,1,1,1,2,2,99,99,99,99,99,99,99,99,0,-1,-2,-1,-1,-1,-1,99,-6,99,99,99,99,99,99,-2,-1,0,1,1
1,0,0,0,0,0,99,99,-2,-1,-2,-3,-3,-3,-3,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2,2,2,1,2,2,3,3,3,3,3,2,2,99,99,99,2,-1,-1,-2,-1,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,99,99,99,99,99,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,5,5,5,5,5,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,6,6,6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,0,2,2,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,2,99,99,99,2,3,3,3,99,2,2,2,2,2,0,2,2,2,2,99,2,2,2,2,2,2,2,2,2,99,3,1,1,0,99,1,0,99,99,1,1,1,1,99,99,99,99,99,99,99,99,99,-1,-1,-2,-2,-2,-2,99,99,99,99,99,99,99,99,-2,-2,-2,0,1,1
0,0,0,0,0,0,99,99,1,-1,0,-2,99,-3,0,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,2,2,99,2,2,3,3,3,3,2,2,99,99,2,99,2,-1,-1,0,0,0,2,99,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,6,6,6,6,6,5,5,5,5,5,6,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,6,6,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,0,2,3,3,3,3,3,3,3,3,2,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,99,99,3,3,3,99,2,2,2,2,2,2,99,2,2,2,2,99,99,2,2,2,2,2,2,2,2,4,1,1,0,-1,1,0,0,0,99,1,1,1,99,99,99,99,99,99,99,99,-1,-1,-1,-2,-2,-2,-2,99,99,99,99,99,99,99,99,-2,-2,0,0,0,0
0,0,0,0,0,0,0,99,99,-2,-1,-2,-2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,2,2,2,0,2,2,3,3,2,2,2,99,99,2,99,2,1,-2,0,0,0,2,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,5,5,5,5,5,6,8,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,6,6,6,3,3,0,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,0,2,2,2,2,2,2,2,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99,3,2,2,2,2,2,99,99,99,2,2,2,2,2,99,2,2,2,2,2,2,2,99,2,1,-1,-1,1,1,0,0,0,99,99,99,99,99,99,99,99,99,99,-1,-1,-1,-2,-2,-2,-2,99,99,99,99,99,99,99,99,-2,-2,-2,0,0,0,0
99,0,0,0,0,0,0,0,-3,-2,-2,0,-2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,99,99,99,99,99,2,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,5,5,5,5,5,6,6,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,6,5,6,3,3,3,3,0,2,2,2,2,2,1,1,1,1,3,3,1,1,1,1,3,3,3,3,3,1,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,99,2,2,2,2,2,2,99,99,99,99,99,2,2,2,2,99,99,2,2,2,2,2,99,2,0,-1,0,1,1,0,0,0,0,0,99,99,99,99,99,99,99,-1,-1,-1,-1,-2,-2,-2,99,99,99,99,99,99,99,99,99,-2,-2,-1,0,0,1,99
99,0,0,0,0,0,0,0,-1,0,-1,-1,-1,99,99,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,99,99,99,99,99,2,0,0,0,0,0,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,6,6,6,6,5,5,5,5,5,5,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,6,5,6,3,3,3,3,3,1,1,1,1,0,3,3,3,3,3,3,0,0,0,0,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,2,2,2,2,2,99,99,99,99,99,99,2,2,2,2,2,99,2,2,2,2,2,2,0,-1,1,1,1,1,0,0,0,99,-1,99,99,99,99,99,-1,-1,-1,-1,-1,-2,-2,99,99,99,99,99,99,99,0,99,-1,-2,-2,0,0,1,1,99
99,99,0,0,0,0,0,0,0,-3,0,-3,99,99,99,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,2,2,2,2,2,2,99,99,99,3,99,99,99,99,99,99,0,1,-1,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,5,5,5,5,5,5,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,5,6,3,3,3,3,3,3,3,3,3,3,3,1,3,4,3,3,0,0,0,0,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,1,2,2,2,2,99,99,99,99,99,99,99,2,2,2,2,2,99,99,2,2,2,2,1,-1,1,1,1,1,0,99,99,99,99,99,99,99,99,99,-1,-1,-1,-1,-1,-2,-2,99,99,99,99,99,-1,-1,1,-1,-1,0,-2,0,1,1,99,99
99,99,0,0,0,0,0,0,0,0,-3,99,99,99,99,99,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,2,2,2,2,2,2,99,2,99,99,99,99,99,99,99,99,99,2,-1,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,5,5,5,5,5,5,6,6,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,5,6,3,3,3,3,3,3,3,3,3,3,1,3,4,3,3,2,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3,2,2,2,1,3,3,3,3,3,3,3,2,2,1,2,1,99,1,1,2,2,99,99,99,99,99,99,99,99,2,2,2,2,2,2,99,2,1,3,1,-1,1,1,1,99,99,99,99,99,99,99,99,-1,0,-1,-1,-1,-1,-1,-1,99,-3,99,99,99,99,99,-1,1,99,0,-1,0,0,0,1,0,99,99
99,99,99,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,5,5,5,5,5,5,6,6,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,5,4,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,3,3,3,3,3,3,2,2,2,3,3,99,99,1,1,1,99,99,99,99,99,99,99,99,99,2,2,2,2,2,2,2,0,3,1,0,1,1,99,99,99,99,99,99,99,99,99,99,-2,-1,2,-1,-1,-1,-2,99,99,99,99,99,99,99,-2,99,99,-1,-1,0,0,1,1,1,99,99
99,99,99,99,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,2,2,2,2,2,2,2,2,1,99,99,99,99,99,99,99,99,99,3,99,99,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,5,5,5,5,5,5,5,6,6,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,2,3,3,3,3,2,2,2,4,3,3,99,1,1,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,3,1,2,99,1,0,99,99,99,99,99,99,99,99,99,99,99,-2,-1,-1,-1,2,2,2,-3,-4,99,99,-2,99,-3,-5,-2,99,-1,-1,-1,0,0,1,1,1,99,99
99,99,99,99,0,0,0,0,0,99,99,99,99,-2,99,99,99,99,-1,-2,-2,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,2,2,2,2,2,2,2,2,2,1,99,99,99,99,99,99,5,3,3,3,99,99,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,5,5,5,5,5,5,6,6,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,4,3,3,1,3,3,3,3,3,3,3,4,3,3,-1,1,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,2,3,3,3,2,2,2,4,3,3,3,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,2,3,3,3,0,3,99,-1,99,99,99,99,99,99,99,99,99,99,-2,-2,-2,-2,-1,-2,2,2,-1,99,99,99,-2,-2,99,99,99,99,-2,-1,1,0,0,1,0,99,99,99
99,99,99,99,99,0,0,0,99,99,99,99,99,-2,-2,-2,99,99,-1,-2,-2,99,1,0,0,-1,-1,-1,0,0,0,1,0,0,2,2,2,2,2,2,2,2,1,2,2,99,99,99,99,5,5,3,4,3,3,99,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,5,5,5,5,5,5,6,6,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,6,3,3,3,1,3,3,3,3,3,4,3,3,-1,1,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,2,3,3,2,2,2,4,4,3,3,3,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,99,99,99,99,99,99,99,99,99,99,99,99,-2,-2,-2,-2,-2,-2,-1,-1,-3,99,99,99,99,99,99,99,99,99,99,1,1,1,0,0,0,1,99,99,99
99,99,99,99,99,0,0,99,99,99,99,99,99,99,-2,-2,-2,-1,-1,-2,-2,-2,99,1,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,1,2,2,4,99,99,99,99,99,3,4,3,3,3,99,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,6,4,6,6,5,5,5,5,5,5,5,5,6,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,6,1,3,3,3,3,3,1,3,3,3,3,3,1,1,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,3,3,2,2,2,4,4,3,3,3,3,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,99,99,99,99,-1,-1,99,99,99,99,99,99,99,-1,-2,-2,-2,-2,-2,-2,-2,99,99,99,99,99,-4,99,99,99,99,99,1,0,0,0,0,0,0,1,99,99,99
99,99,99,99,99,99,99,99,99,99,99,99,99,99,-2,-2,-2,-2,-2,99,-2,-2,-2,99,1,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,1,3,3,3,99,99,99,99,99,99,4,4,3,3,3,99,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,6,6,5,5,5,5,5,5,5,5,6,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,6,3,1,3,3,3,1,3,1,2,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,2,4,3,3,3,3,2,99,99,99,99,99,99,99,99,99,99,99,3,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-2,-2,-2,-2,-2,-2,-2,-2,99,99,99,99,99,99,99,99,99,99,99,1,0,99,0,0,0,0,99,99,99,99
99,99,99,99,99,0,99,99,99,99,99,99,99,99,-2,-2,-2,-2,-2,99,99,99,99,-2,-2,1,0,0,0,0,0,1,0,0,0,2,2,2,2,1,1,1,1,3,3,99,99,99,99,99,99,99,99,99,4,4,4,99,99,1,1,99,99,99,99,99,2,2,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,6,6,6,5,5,5,5,5,5,5,5,6,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,6,6,3,3,3,3,3,3,2,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,1,2,4,4,3,3,3,2,2,99,99,99,99,99,99,99,99,99,3,3,99,99,99,99,99,-1,99,99,-1,99,99,99,99,99,99,99,-2,-2,-2,-2,-2,-2,-2,99,-6,99,99,99,99,99,99,99,99,99,0,0,0,99,0,0,0,1,99,99,99,99
99,99,99,99,0,0,0,99,99,99,99,99,99,99,99,-2,-2,-2,-2,-3,99,99,99,99,99,99,-1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,3,3,4,99,99,99,99,99,99,4,4,4,99,99,1,1,99,99,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,6,6,6,5,5,5,5,5,5,5,5,6,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,6,6,3,3,3,3,1,2,1,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,99,99,2,4,4,3,3,3,3,2,2,99,99,99,99,99,99,2,99,99,99,99,99,99,99,99,99,99,99,-1,-1,99,99,99,99,99,99,-2,-2,-2,-2,-2,-2,99,-6,-6,99,99,99,99,99,99,99,99,99,-2,0,99,2,0,0,0,1,99,99,99,99
99,99,99,0,0,0,0,0,99,99,99,99,99,99,99,99,-2,-2,-2,99,99,99,99,99,99,99,99,99,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,2,4,4,4,3,3,4,99,99,99,99,99,99,99,99,4,4,99,99,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,6,4,6,5,5,5,5,5,5,5,5,5,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,6,6,3,3,1,3,3,4,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,99,2,4,4,4,3,3,3,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-1,-1,99,99,99,99,99,99,-2,99,-2,-2,-2,-2,-6,-6,-6,99,99,99,99,99,99,99,99,99,0,0,0,0,0,0,1,99,99,99,99,99
99,99,0,0,0,0,0,0,99,99,99,99,99,99,99,99,-2,-2,-2,-2,99,99,99,99,99,99,99,99,99,0,0,0,0,-1,-1,-1,1,1,1,1,1,-1,99,4,3,2,3,3,3,99,99,99,99,99,99,99,99,99,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,6,6,6,6,5,5,5,5,5,5,5,5,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,6,6,3,3,3,3,4,3,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,4,2,3,4,4,3,3,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-1,99,99,99,99,99,99,99,-2,-2,99,99,-2,99,-6,-6,99,99,99,99,99,99,99,99,99,99,-2,2,99,0,0,0,1,99,99,99,99,99
99,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,-2,-2,-2,99,99,99,99,99,99,99,99,99,99,0,0,0,-1,-1,-1,1,1,1,1,-1,2,99,3,3,2,3,3,3,4,4,99,99,99,99,99,99,3,99,4,99,99,99,99,99,99,2,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,3,3,3,5,2,4,4,4,4,4,6,6,6,6,5,5,5,5,5,5,5,5,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,6,6,3,3,4,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,2,4,4,4,4,2,2,2,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-1,-1,99,-1,99,-2,-2,-2,-2,99,99,-2,-6,99,-6,99,99,99,99,99,99,99,99,99,99,0,2,0,0,0,1,99,99,99,99,99,99
0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,-2,-2,99,99,99,99,99,99,99,99,99,99,99,0,0,-1,-1,-1,1,1,1,1,3,2,2,3,3,2,3,3,3,3,4,4,99,99,99,99,99,99,3,99,99,99,99,99,1,2,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,3,3,3,5,3,4,4,4,4,5,6,4,6,5,5,5,5,5,5,5,5,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,6,3,3,4,3,3,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,0,4,2,0,3,3,4,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,-1,-1,99,0,-1,99,-2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,0,0,0,1,99,99,99,99,99,0
